trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
S1DA_T01,05:00:00,05:00:00,1,1,,0,0,,,,1
S1DA_T01,05:04:00,05:04:00,2,2,,0,0,,,,1
S1DA_T01,05:07:00,05:07:00,3,3,,0,0,,,,1
S1DA_T01,05:10:00,05:10:00,4,4,,0,0,,,,1
S1DA_T01,05:14:00,05:14:00,5,5,,0,0,,,,1
S1DA_T01,05:18:00,05:18:00,6,6,,0,0,,,,1
S1DA_T01,05:22:00,05:22:00,7,7,,0,0,,,,1
S1DA_T01,05:30:00,05:30:00,9,8,,0,0,,,,1
S1DA_T01,05:33:00,05:33:00,10,9,,0,0,,,,1
S1DA_T01,05:35:00,05:35:00,11,10,,0,0,,,,1
S1DA_T01,05:38:00,05:38:00,12,11,,0,0,,,,1
S1DA_T01,05:40:00,05:40:00,13,12,,0,0,,,,1
S1DA_T01,05:45:00,05:45:00,14,13,,0,0,,,,1
S1DA_T01,05:48:00,05:48:00,15,14,,0,0,,,,1
S1DA_T01,05:50:00,05:50:00,16,15,,0,0,,,,1
S1DA_T01,05:52:00,05:52:00,31,16,,0,0,,,,1
S1DA_T01,05:55:00,05:55:00,17,17,,0,0,,,,1
S1DA_T01,05:56:00,05:56:00,18,18,,0,0,,,,1
S1DA_T01,05:58:00,05:58:00,19,19,,0,0,,,,1
S1DA_T01,06:00:00,06:00:00,20,20,,0,0,,,,1
S1DA_T01,06:01:00,06:01:00,21,21,,0,0,,,,1
S1DA_T01,06:03:00,06:03:00,22,22,,0,0,,,,1
S1DA_T01,06:05:00,06:05:00,23,23,,0,0,,,,1
S1DA_T01,06:08:00,06:08:00,24,24,,0,0,,,,1
S1DA_T01,06:10:00,06:10:00,25,25,,0,0,,,,1
S1DA_T01,06:12:00,06:12:00,26,26,,0,0,,,,1
S1DA_T01,06:16:00,06:16:00,27,27,,0,0,,,,1
S1DA_T01,06:20:00,06:20:00,28,28,,0,0,,,,1
S1DA_T01,06:25:00,06:25:00,29,29,,0,0,,,,1
S1DA_T01,06:30:00,06:30:00,30,30,,0,0,,,,1
S1DA_T02,05:30:00,05:30:00,1,1,,0,0,,,,1
S1DA_T02,05:34:00,05:34:00,2,2,,0,0,,,,1
S1DA_T02,05:37:00,05:37:00,3,3,,0,0,,,,1
S1DA_T02,05:40:00,05:40:00,4,4,,0,0,,,,1
S1DA_T02,05:44:00,05:44:00,5,5,,0,0,,,,1
S1DA_T02,05:48:00,05:48:00,6,6,,0,0,,,,1
S1DA_T02,05:52:00,05:52:00,7,7,,0,0,,,,1
S1DA_T02,06:00:00,06:00:00,9,8,,0,0,,,,1
S1DA_T02,06:03:00,06:03:00,10,9,,0,0,,,,1
S1DA_T02,06:05:00,06:05:00,11,10,,0,0,,,,1
S1DA_T02,06:08:00,06:08:00,12,11,,0,0,,,,1
S1DA_T02,06:10:00,06:10:00,13,12,,0,0,,,,1
S1DA_T02,06:15:00,06:15:00,14,13,,0,0,,,,1
S1DA_T02,06:18:00,06:18:00,15,14,,0,0,,,,1
S1DA_T02,06:20:00,06:20:00,16,15,,0,0,,,,1
S1DA_T02,06:22:00,06:22:00,31,16,,0,0,,,,1
S1DA_T02,06:25:00,06:25:00,17,17,,0,0,,,,1
S1DA_T02,06:26:00,06:26:00,18,18,,0,0,,,,1
S1DA_T02,06:28:00,06:28:00,19,19,,0,0,,,,1
S1DA_T02,06:30:00,06:30:00,20,20,,0,0,,,,1
S1DA_T02,06:31:00,06:31:00,21,21,,0,0,,,,1
S1DA_T02,06:33:00,06:33:00,22,22,,0,0,,,,1
S1DA_T02,06:35:00,06:35:00,23,23,,0,0,,,,1
S1DA_T02,06:38:00,06:38:00,24,24,,0,0,,,,1
S1DA_T02,06:40:00,06:40:00,25,25,,0,0,,,,1
S1DA_T02,06:42:00,06:42:00,26,26,,0,0,,,,1
S1DA_T02,06:46:00,06:46:00,27,27,,0,0,,,,1
S1DA_T02,06:50:00,06:50:00,28,28,,0,0,,,,1
S1DA_T02,06:55:00,06:55:00,29,29,,0,0,,,,1
S1DA_T02,07:00:00,07:00:00,30,30,,0,0,,,,1
S1DA_T03,06:00:00,06:00:00,1,1,,0,0,,,,1
S1DA_T03,06:04:00,06:04:00,2,2,,0,0,,,,1
S1DA_T03,06:07:00,06:07:00,3,3,,0,0,,,,1
S1DA_T03,06:10:00,06:10:00,4,4,,0,0,,,,1
S1DA_T03,06:14:00,06:14:00,5,5,,0,0,,,,1
S1DA_T03,06:18:00,06:18:00,6,6,,0,0,,,,1
S1DA_T03,06:22:00,06:22:00,7,7,,0,0,,,,1
S1DA_T03,06:30:00,06:30:00,9,8,,0,0,,,,1
S1DA_T03,06:33:00,06:33:00,10,9,,0,0,,,,1
S1DA_T03,06:35:00,06:35:00,11,10,,0,0,,,,1
S1DA_T03,06:38:00,06:38:00,12,11,,0,0,,,,1
S1DA_T03,06:40:00,06:40:00,13,12,,0,0,,,,1
S1DA_T03,06:45:00,06:45:00,14,13,,0,0,,,,1
S1DA_T03,06:48:00,06:48:00,15,14,,0,0,,,,1
S1DA_T03,06:50:00,06:50:00,16,15,,0,0,,,,1
S1DA_T03,06:52:00,06:52:00,31,16,,0,0,,,,1
S1DA_T03,06:55:00,06:55:00,17,17,,0,0,,,,1
S1DA_T03,06:56:00,06:56:00,18,18,,0,0,,,,1
S1DA_T03,06:58:00,06:58:00,19,19,,0,0,,,,1
S1DA_T03,07:00:00,07:00:00,20,20,,0,0,,,,1
S1DA_T03,07:01:00,07:01:00,21,21,,0,0,,,,1
S1DA_T03,07:03:00,07:03:00,22,22,,0,0,,,,1
S1DA_T03,07:05:00,07:05:00,23,23,,0,0,,,,1
S1DA_T03,07:08:00,07:08:00,24,24,,0,0,,,,1
S1DA_T03,07:10:00,07:10:00,25,25,,0,0,,,,1
S1DA_T03,07:12:00,07:12:00,26,26,,0,0,,,,1
S1DA_T03,07:16:00,07:16:00,27,27,,0,0,,,,1
S1DA_T03,07:20:00,07:20:00,28,28,,0,0,,,,1
S1DA_T03,07:25:00,07:25:00,29,29,,0,0,,,,1
S1DA_T03,07:30:00,07:30:00,30,30,,0,0,,,,1
S1DA_T04,06:30:00,06:30:00,1,1,,0,0,,,,1
S1DA_T04,06:34:00,06:34:00,2,2,,0,0,,,,1
S1DA_T04,06:37:00,06:37:00,3,3,,0,0,,,,1
S1DA_T04,06:40:00,06:40:00,4,4,,0,0,,,,1
S1DA_T04,06:44:00,06:44:00,5,5,,0,0,,,,1
S1DA_T04,06:48:00,06:48:00,6,6,,0,0,,,,1
S1DA_T04,06:52:00,06:52:00,7,7,,0,0,,,,1
S1DA_T04,07:00:00,07:00:00,9,8,,0,0,,,,1
S1DA_T04,07:03:00,07:03:00,10,9,,0,0,,,,1
S1DA_T04,07:05:00,07:05:00,11,10,,0,0,,,,1
S1DA_T04,07:08:00,07:08:00,12,11,,0,0,,,,1
S1DA_T04,07:10:00,07:10:00,13,12,,0,0,,,,1
S1DA_T04,07:15:00,07:15:00,14,13,,0,0,,,,1
S1DA_T04,07:18:00,07:18:00,15,14,,0,0,,,,1
S1DA_T04,07:20:00,07:20:00,16,15,,0,0,,,,1
S1DA_T04,07:22:00,07:22:00,31,16,,0,0,,,,1
S1DA_T04,07:25:00,07:25:00,17,17,,0,0,,,,1
S1DA_T04,07:26:00,07:26:00,18,18,,0,0,,,,1
S1DA_T04,07:28:00,07:28:00,19,19,,0,0,,,,1
S1DA_T04,07:30:00,07:30:00,20,20,,0,0,,,,1
S1DA_T04,07:31:00,07:31:00,21,21,,0,0,,,,1
S1DA_T04,07:33:00,07:33:00,22,22,,0,0,,,,1
S1DA_T04,07:35:00,07:35:00,23,23,,0,0,,,,1
S1DA_T04,07:38:00,07:38:00,24,24,,0,0,,,,1
S1DA_T04,07:40:00,07:40:00,25,25,,0,0,,,,1
S1DA_T04,07:42:00,07:42:00,26,26,,0,0,,,,1
S1DA_T04,07:46:00,07:46:00,27,27,,0,0,,,,1
S1DA_T04,07:50:00,07:50:00,28,28,,0,0,,,,1
S1DA_T04,07:55:00,07:55:00,29,29,,0,0,,,,1
S1DA_T04,08:00:00,08:00:00,30,30,,0,0,,,,1
S1DA_T05,07:00:00,07:00:00,1,1,,0,0,,,,1
S1DA_T05,07:04:00,07:04:00,2,2,,0,0,,,,1
S1DA_T05,07:07:00,07:07:00,3,3,,0,0,,,,1
S1DA_T05,07:10:00,07:10:00,4,4,,0,0,,,,1
S1DA_T05,07:14:00,07:14:00,5,5,,0,0,,,,1
S1DA_T05,07:18:00,07:18:00,6,6,,0,0,,,,1
S1DA_T05,07:22:00,07:22:00,7,7,,0,0,,,,1
S1DA_T05,07:30:00,07:30:00,9,8,,0,0,,,,1
S1DA_T05,07:33:00,07:33:00,10,9,,0,0,,,,1
S1DA_T05,07:35:00,07:35:00,11,10,,0,0,,,,1
S1DA_T05,07:38:00,07:38:00,12,11,,0,0,,,,1
S1DA_T05,07:40:00,07:40:00,13,12,,0,0,,,,1
S1DA_T05,07:45:00,07:45:00,14,13,,0,0,,,,1
S1DA_T05,07:48:00,07:48:00,15,14,,0,0,,,,1
S1DA_T05,07:50:00,07:50:00,16,15,,0,0,,,,1
S1DA_T05,07:52:00,07:52:00,31,16,,0,0,,,,1
S1DA_T05,07:55:00,07:55:00,17,17,,0,0,,,,1
S1DA_T05,07:56:00,07:56:00,18,18,,0,0,,,,1
S1DA_T05,07:58:00,07:58:00,19,19,,0,0,,,,1
S1DA_T05,08:00:00,08:00:00,20,20,,0,0,,,,1
S1DA_T05,08:01:00,08:01:00,21,21,,0,0,,,,1
S1DA_T05,08:03:00,08:03:00,22,22,,0,0,,,,1
S1DA_T05,08:05:00,08:05:00,23,23,,0,0,,,,1
S1DA_T05,08:08:00,08:08:00,24,24,,0,0,,,,1
S1DA_T05,08:10:00,08:10:00,25,25,,0,0,,,,1
S1DA_T05,08:12:00,08:12:00,26,26,,0,0,,,,1
S1DA_T05,08:16:00,08:16:00,27,27,,0,0,,,,1
S1DA_T05,08:20:00,08:20:00,28,28,,0,0,,,,1
S1DA_T05,08:25:00,08:25:00,29,29,,0,0,,,,1
S1DA_T05,08:30:00,08:30:00,30,30,,0,0,,,,1
S1DA_T06,07:30:00,07:30:00,1,1,,0,0,,,,1
S1DA_T06,07:34:00,07:34:00,2,2,,0,0,,,,1
S1DA_T06,07:37:00,07:37:00,3,3,,0,0,,,,1
S1DA_T06,07:40:00,07:40:00,4,4,,0,0,,,,1
S1DA_T06,07:44:00,07:44:00,5,5,,0,0,,,,1
S1DA_T06,07:48:00,07:48:00,6,6,,0,0,,,,1
S1DA_T06,07:52:00,07:52:00,7,7,,0,0,,,,1
S1DA_T06,08:00:00,08:00:00,9,8,,0,0,,,,1
S1DA_T06,08:03:00,08:03:00,10,9,,0,0,,,,1
S1DA_T06,08:05:00,08:05:00,11,10,,0,0,,,,1
S1DA_T06,08:08:00,08:08:00,12,11,,0,0,,,,1
S1DA_T06,08:10:00,08:10:00,13,12,,0,0,,,,1
S1DA_T06,08:15:00,08:15:00,14,13,,0,0,,,,1
S1DA_T06,08:18:00,08:18:00,15,14,,0,0,,,,1
S1DA_T06,08:20:00,08:20:00,16,15,,0,0,,,,1
S1DA_T06,08:22:00,08:22:00,31,16,,0,0,,,,1
S1DA_T06,08:25:00,08:25:00,17,17,,0,0,,,,1
S1DA_T06,08:26:00,08:26:00,18,18,,0,0,,,,1
S1DA_T06,08:28:00,08:28:00,19,19,,0,0,,,,1
S1DA_T06,08:30:00,08:30:00,20,20,,0,0,,,,1
S1DA_T06,08:31:00,08:31:00,21,21,,0,0,,,,1
S1DA_T06,08:33:00,08:33:00,22,22,,0,0,,,,1
S1DA_T06,08:35:00,08:35:00,23,23,,0,0,,,,1
S1DA_T06,08:38:00,08:38:00,24,24,,0,0,,,,1
S1DA_T06,08:40:00,08:40:00,25,25,,0,0,,,,1
S1DA_T06,08:42:00,08:42:00,26,26,,0,0,,,,1
S1DA_T06,08:46:00,08:46:00,27,27,,0,0,,,,1
S1DA_T06,08:50:00,08:50:00,28,28,,0,0,,,,1
S1DA_T06,08:55:00,08:55:00,29,29,,0,0,,,,1
S1DA_T06,09:00:00,09:00:00,30,30,,0,0,,,,1
S1DA_T07,08:00:00,08:00:00,1,1,,0,0,,,,1
S1DA_T07,08:04:00,08:04:00,2,2,,0,0,,,,1
S1DA_T07,08:07:00,08:07:00,3,3,,0,0,,,,1
S1DA_T07,08:10:00,08:10:00,4,4,,0,0,,,,1
S1DA_T07,08:14:00,08:14:00,5,5,,0,0,,,,1
S1DA_T07,08:18:00,08:18:00,6,6,,0,0,,,,1
S1DA_T07,08:22:00,08:22:00,7,7,,0,0,,,,1
S1DA_T07,08:30:00,08:30:00,9,8,,0,0,,,,1
S1DA_T07,08:33:00,08:33:00,10,9,,0,0,,,,1
S1DA_T07,08:35:00,08:35:00,11,10,,0,0,,,,1
S1DA_T07,08:38:00,08:38:00,12,11,,0,0,,,,1
S1DA_T07,08:40:00,08:40:00,13,12,,0,0,,,,1
S1DA_T07,08:45:00,08:45:00,14,13,,0,0,,,,1
S1DA_T07,08:48:00,08:48:00,15,14,,0,0,,,,1
S1DA_T07,08:50:00,08:50:00,16,15,,0,0,,,,1
S1DA_T07,08:52:00,08:52:00,31,16,,0,0,,,,1
S1DA_T07,08:55:00,08:55:00,17,17,,0,0,,,,1
S1DA_T07,08:56:00,08:56:00,18,18,,0,0,,,,1
S1DA_T07,08:58:00,08:58:00,19,19,,0,0,,,,1
S1DA_T07,09:00:00,09:00:00,20,20,,0,0,,,,1
S1DA_T07,09:01:00,09:01:00,21,21,,0,0,,,,1
S1DA_T07,09:03:00,09:03:00,22,22,,0,0,,,,1
S1DA_T07,09:05:00,09:05:00,23,23,,0,0,,,,1
S1DA_T07,09:08:00,09:08:00,24,24,,0,0,,,,1
S1DA_T07,09:10:00,09:10:00,25,25,,0,0,,,,1
S1DA_T07,09:12:00,09:12:00,26,26,,0,0,,,,1
S1DA_T07,09:16:00,09:16:00,27,27,,0,0,,,,1
S1DA_T07,09:20:00,09:20:00,28,28,,0,0,,,,1
S1DA_T07,09:25:00,09:25:00,29,29,,0,0,,,,1
S1DA_T07,09:30:00,09:30:00,30,30,,0,0,,,,1
S1DA_T08,08:30:00,08:30:00,1,1,,0,0,,,,1
S1DA_T08,08:34:00,08:34:00,2,2,,0,0,,,,1
S1DA_T08,08:37:00,08:37:00,3,3,,0,0,,,,1
S1DA_T08,08:40:00,08:40:00,4,4,,0,0,,,,1
S1DA_T08,08:44:00,08:44:00,5,5,,0,0,,,,1
S1DA_T08,08:48:00,08:48:00,6,6,,0,0,,,,1
S1DA_T08,08:52:00,08:52:00,7,7,,0,0,,,,1
S1DA_T08,09:00:00,09:00:00,9,8,,0,0,,,,1
S1DA_T08,09:03:00,09:03:00,10,9,,0,0,,,,1
S1DA_T08,09:05:00,09:05:00,11,10,,0,0,,,,1
S1DA_T08,09:08:00,09:08:00,12,11,,0,0,,,,1
S1DA_T08,09:10:00,09:10:00,13,12,,0,0,,,,1
S1DA_T08,09:15:00,09:15:00,14,13,,0,0,,,,1
S1DA_T08,09:18:00,09:18:00,15,14,,0,0,,,,1
S1DA_T08,09:20:00,09:20:00,16,15,,0,0,,,,1
S1DA_T08,09:22:00,09:22:00,31,16,,0,0,,,,1
S1DA_T08,09:25:00,09:25:00,17,17,,0,0,,,,1
S1DA_T08,09:26:00,09:26:00,18,18,,0,0,,,,1
S1DA_T08,09:28:00,09:28:00,19,19,,0,0,,,,1
S1DA_T08,09:30:00,09:30:00,20,20,,0,0,,,,1
S1DA_T08,09:31:00,09:31:00,21,21,,0,0,,,,1
S1DA_T08,09:33:00,09:33:00,22,22,,0,0,,,,1
S1DA_T08,09:35:00,09:35:00,23,23,,0,0,,,,1
S1DA_T08,09:38:00,09:38:00,24,24,,0,0,,,,1
S1DA_T08,09:40:00,09:40:00,25,25,,0,0,,,,1
S1DA_T08,09:42:00,09:42:00,26,26,,0,0,,,,1
S1DA_T08,09:46:00,09:46:00,27,27,,0,0,,,,1
S1DA_T08,09:50:00,09:50:00,28,28,,0,0,,,,1
S1DA_T08,09:55:00,09:55:00,29,29,,0,0,,,,1
S1DA_T08,10:00:00,10:00:00,30,30,,0,0,,,,1
