stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1,BVA,Beauvais,Beauvais,49.426346037666185,2.088710309212055,C,,0,,Europe/Paris,1,
2,VNI,Villennes-Nivilliers,Villennes-Nivilliers,49.48281825258478,2.193456904720939,C,,0,,Europe/Paris,1,
3,RLA,Reuil-Lafraye,Reuil-Lafraye,49.50560583057639,2.222106996735886,C,,0,,Europe/Paris,1,
4,FRA,Froissy,Froissy,49.56539122438064,2.227085153518064,C,,0,,Europe/Paris,1,
5,BRV,Breteuil-Ville,Breteuil-Ville,49.623118368305754,2.2941942027936233,C,,0,,Europe/Paris,1,
6,BRE,Breteuil-Embranchement,Breteuil-Embranchement,49.626504633135426,2.3845933254272267,C,,0,,Europe/Paris,1,
7,LFA,La Faloise,La Faloise,49.696517131111314,2.3485679135483086,B,,0,,Europe/Paris,1,
9,ASN,Ailly-sur-Noye,Ailly-sur-Noye,49.754530090145636,2.363876748617099,B,,0,,Europe/Paris,1,
10,RMC,Remiencourt,Remiencourt,49.78148242651435,2.384159698591051,A,,0,,Europe/Paris,1,
11,DRE,Dommartin - Remiencourt,Dommartin - Remiencourt,49.799701769599366,2.3924061203308957,A,,0,,Europe/Paris,1,
12,FCE,Fouencamps,Fouencamps,49.824823854893545,2.404248107942892,A,,0,,Europe/Paris,1,
13,ABV,Boves,Boves,49.84620715959376,2.3976963417446635,A,,0,,Europe/Paris,1,
14,LNG,Longueau,Longueau,49.86349118976038,2.352190045062417,A,,0,,Europe/Paris,1,
15,ANV,Neuville,Neuville,49.88208225422058,2.3352582472280936,A,,0,,Europe/Paris,1,
16,ASA,Saint Acheul,Saint Acheul,49.88689429758779,2.3276223298436727,A,,0,,Europe/Paris,1,
17,AMI,Amiens Gare du Nord,Amiens Gare du Nord,49.890061792456365,2.309038561883087,A,,0,,Europe/Paris,1,
18,AMC,Centre Ville,Centre Ville,49.88829016515605,2.2981231289072226,A,,0,,Europe/Paris,1,
