route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,all,S1DA_T01,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T02,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T03,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T04,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T05,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T06,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T07,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T08,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T09,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T10,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T11,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T12,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T13,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T14,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T15,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T16,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T17,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T18,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T19,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T20,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T21,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T22,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T23,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T24,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T25,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T26,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T27,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T28,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T29,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T30,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T31,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T32,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T33,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T34,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DA_T35,ABBEVILLE,0,,S1-Abbeville,1,1
1,all,S1DB_T01,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T02,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T03,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T04,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T05,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T06,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T07,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T08,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T09,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T10,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T11,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T12,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T13,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T14,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T15,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T16,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T17,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T18,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T19,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T20,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T21,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T22,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T23,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T24,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T25,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T26,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T27,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T28,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T29,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T30,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T31,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T32,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T33,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T34,BEAUVAIS,1,,S1-Beauvais,1,1
1,all,S1DB_T35,BEAUVAIS,1,,S1-Beauvais,1,1
2,all,S2DD_T01,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T02,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T03,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T04,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T05,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T06,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T07,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T08,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T09,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T10,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T11,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T12,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T13,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T14,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T15,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T16,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T17,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T18,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T19,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T20,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T21,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T22,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T23,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T24,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T25,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T26,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T27,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T28,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T29,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T30,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T31,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T32,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T33,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T34,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DD_T35,DOULLENS-TIVOLI,0,,S2,1,1
2,all,S2DA_T01,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T02,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T03,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T04,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T05,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T06,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T07,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T08,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T09,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T10,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T11,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T12,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T13,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T14,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T15,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T16,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T17,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T18,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T19,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T20,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T21,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T22,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T23,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T24,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T25,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T26,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T27,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T28,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T29,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T30,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T31,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T32,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T33,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T34,ALBERT,1,,S2-reverse,1,1
2,all,S2DA_T35,ALBERT,1,,S2-reverse,1,1
3,all,S3DP_T01,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T02,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T03,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T04,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T05,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T06,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T07,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T08,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T09,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T10,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T11,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T12,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T13,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T14,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T15,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T16,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T17,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T18,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T19,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T20,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T21,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T22,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T23,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T24,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T25,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T26,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T27,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T28,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T29,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T30,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T31,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T32,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T33,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T34,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DP_T35,POIX-DE-PICARDIE,0,,S3,1,1
3,all,S3DC_T01,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T02,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T03,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T04,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T05,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T06,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T07,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T08,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T09,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T10,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T11,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T12,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T13,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T14,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T15,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T16,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T17,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T18,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T19,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T20,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T21,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T22,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T23,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T24,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T25,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T26,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T27,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T28,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T29,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T30,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T31,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T32,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T33,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T34,CHAULNES,1,,S3-reverse,1,1
3,all,S3DC_T35,CHAULNES,1,,S3-reverse,1,1
10,all,S10DA_T01,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T02,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T03,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T04,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T05,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T06,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T07,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T08,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T09,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T10,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T11,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T12,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T13,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T14,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T15,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T16,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T17,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T18,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T19,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T20,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T21,ABBEVILLE/A. Sud,0,,,1,1
10,all,S10DA_T22,ABBEVILLE/A. Sud,0,,,1,1
